,,,,,,,,,,Number
Data Series,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Residents,4044210,4026209,3994283,3965796,3933559,3902690,3870739,3844751,3818205,3789251
  Total HDB Dwellings,3152410,3154524,3149249,3156575,3162636,3162357,3154691,3147634,3136924,3120823
    HDB 1- And 2-Room Flats,177358,173771,170955,168052,163847,159792,151720,143445,132214,122473
    HDB 3-Room Flats,575200,580233,584821,590806,599416,604579,609833,612096,621569,629207
    HDB 4-Room Flats,1338374,1337743,1331440,1330160,1325542,1320285,1311754,1303959,1294678,1283524
    HDB 5-Room And Executive Flats,1061478,1062777,1062033,1067557,1070978,1074735,1077664,1081223,1080226,1077235
  Condominiums & Other Apartments,607937,587860,562228,525584,484544,452998,425994,407454,393721,383257
  Landed Properties,248860,249077,248240,249408,250745,251082,252814,251347,249548,247556
  Other Types Of Dwelling,35003,34748,34566,34229,35634,36253,37240,38316,38012,37615
0-4 Years,183076,185355,185528,187653,187160,183575,181369,183295,186673,188249
  Total HDB Dwellings,144145,146195,147012,150516,152004,150367,149709,152005,155549,157545
    HDB 1- And 2-Room Flats,7979,7828,7907,7965,7752,7603,7412,7219,6571,5878
    HDB 3-Room Flats,18996,19909,20485,21322,22121,22114,22289,22558,23932,25342
    HDB 4-Room Flats,70909,71963,71569,72324,71559,69042,66544,65697,65424,64479
    HDB 5-Room And Executive Flats,46261,46495,47051,48905,50492,51520,53355,56342,59407,61618
  Condominiums & Other Apartments,30611,30803,29965,28214,25800,23679,22001,21407,21235,21015
  Landed Properties,7779,7777,7851,8163,8533,8659,8825,8977,8929,8803
  Other Types Of Dwelling,541,580,700,760,823,870,834,906,960,886
5-9 Years,198737,197775,199066,200575,201509,204452,205790,205704,206324,208119
  Total HDB Dwellings,145497,146167,149151,153419,156968,161556,164076,164968,166489,168973
    HDB 1- And 2-Room Flats,7197,7182,7464,7796,7903,8094,7872,7293,6389,5537
    HDB 3-Room Flats,19798,20492,21381,22382,23365,24386,25109,25516,26269,26714
    HDB 4-Room Flats,65611,64809,64916,65432,65392,66107,66306,65762,66002,66947
    HDB 5-Room And Executive Flats,52891,53684,55390,57809,60200,62850,64651,66181,67589,69509
  Condominiums & Other Apartments,41916,40229,38410,35460,32461,30617,29080,28054,27063,26440
  Landed Properties,10555,10570,10660,10791,11080,11241,11606,11588,11600,11519
